symbol,buy_date,sell_date,buy_price,sell_price,pnl_pct,pnl_abs,sell_reason
KMI,2025-01-02,2025-01-27 00:00:00,26.66470718383789,26.048128128051758,-2.3123413714434333,-52.00227756500226,trailing_stop
VST,2025-01-03,2025-01-27 00:00:00,161.2555694580078,136.14752197265625,-15.570344373060486,-233.25376113891616,stop_loss
VRT,2025-01-06,2025-01-27 00:00:00,133.85733032226562,102.42960357666016,-23.478524986223956,-538.9855136871338,stop_loss
CEG,2025-01-10,2025-01-27 00:00:00,303.08355712890625,273.1019287109375,-9.892198937475545,-963.6095373535154,trailing_stop
FIX,2025-01-15,2025-01-27 00:00:00,491.90155029296875,402.60430908203125,-18.153478304297575,-204.49068237304698,stop_loss
GEV,2025-01-24,2025-01-27 00:00:00,419.2494201660156,329.02642822265625,-21.520123249695278,-959.0704043579103,stop_loss
ETR,2025-01-13,2025-01-28 00:00:00,74.4668197631836,74.99824523925781,0.7136406224466639,23.132950973511015,macd_death_cross
JBL,2024-12-18,2025-01-29 00:00:00,143.3986053466797,160.65354919433594,12.03285332234633,1736.7100982666016,macd_death_cross
DECK,2025-01-06,2025-01-31 00:00:00,208.47000122070312,177.36000061035156,-14.923010710503142,-342.52110671997093,stop_loss
TSLA,2024-12-31,2025-02-03 00:00:00,403.8399963378906,383.67999267578125,-4.992077021821686,-337.27686126708977,trailing_stop
DAL,2025-01-10,2025-02-03 00:00:00,65.97633361816406,65.5131607055664,-0.7020288748966482,-68.3967440032975,macd_death_cross
TPR,2025-01-14,2025-02-03 00:00:00,66.40717315673828,72.16846466064453,8.675706599207434,294.34438293457015,macd_death_cross
HWM,2025-01-15,2025-02-05 00:00:00,121.46730041503906,127.3881607055664,4.874447913386138,55.004792098998905,macd_death_cross
NCLH,2025-01-28,2025-02-10 00:00:00,28.440000534057617,26.489999771118164,-6.85654263826148,-664.4432599639895,macd_death_cross
CCL,2025-01-29,2025-02-10 00:00:00,27.781579971313477,25.979907989501953,-6.485131456425021,-348.5874950408934,macd_death_cross
WFC,2025-01-15,2025-02-12 00:00:00,73.97113037109375,77.56622314453125,4.86012956054864,54.86111572265622,macd_death_cross
RCL,2025-01-28,2025-02-12 00:00:00,260.49664306640625,251.70701599121094,-3.374180554393803,-326.97412719726526,macd_death_cross
BSX,2025-02-05,2025-02-12 00:00:00,104.97000122070312,105.7699966430664,0.7621181414309625,8.91994895935045,macd_death_cross
APP,2025-02-12,2025-02-14 00:00:00,380.32000732421875,510.1300048828125,34.13178246179726,2988.226143798829,take_profit
FFIV,2025-01-29,2025-02-19 00:00:00,300.4599914550781,310.0799865722656,3.20175577140885,172.10171264648488,macd_death_cross
AXON,2025-02-03,2025-02-19 00:00:00,658.1099853515625,593.4199829101562,-9.829664323790626,-689.5954260253911,trailing_stop
PLTR,2025-02-04,2025-02-19 00:00:00,103.83000183105469,112.05999755859375,7.926413928924289,185.01030395507814,trailing_stop
IBKR,2024-12-02,2025-02-20 00:00:00,46.126670837402344,56.14297103881836,21.71476939388,7063.394739036557,macd_death_cross
HOOD,2025-01-14,2025-02-20 00:00:00,41.7599983215332,56.060001373291016,34.24330370335319,1161.8752479553223,trailing_stop
TKO,2025-02-07,2025-02-20 00:00:00,163.6392364501953,161.1212615966797,-1.5387353963130888,-7.981980285644511,macd_death_cross
APP,2025-02-14,2025-02-20 00:00:00,510.1300048828125,450.010009765625,-11.785230145597556,-804.4055346679688,stop_loss
CVNA,2025-02-19,2025-02-20 00:00:00,281.82000732421875,247.72000122070312,-12.09992378727228,-762.8171365356447,stop_loss
LYV,2024-12-04,2025-02-21 00:00:00,136.72999572753906,149.39999389648438,9.266436454947847,415.57593994140643,macd_death_cross
CRWD,2025-01-28,2025-02-21 00:00:00,408.67999267578125,406.67999267578125,-0.48938045312794726,-47.42000000000007,trailing_stop
VST,2025-01-29,2025-02-21 00:00:00,154.15420532226562,149.41664123535156,-3.0732629557591324,-165.1988597106938,trailing_stop
IBM,2025-01-31,2025-02-24 00:00:00,247.8466339111328,255.51817321777344,3.095276778861282,19.946002197265557,macd_death_cross
DASH,2025-02-12,2025-02-24 00:00:00,200.88999938964844,195.8699951171875,-2.4988821184294405,-218.82198623657314,macd_death_cross
ABNB,2025-02-14,2025-02-24 00:00:00,161.4199981689453,144.82000732421875,-10.283726324511965,-701.8476129150386,stop_loss
INTC,2025-02-18,2025-02-24 00:00:00,27.389999389648438,24.270000457763672,-11.391014974114654,-258.6791114425662,stop_loss
PLTR,2025-02-19,2025-02-24 00:00:00,112.05999755859375,90.68000030517578,-19.07906275139693,-1203.052445449829,stop_loss
SMCI,2025-02-20,2025-02-24 00:00:00,59.27000045776367,51.61000061035156,-12.923907184496638,-2690.6515464019794,stop_loss
TPR,2025-02-03,2025-02-25 00:00:00,72.16846466064453,82.47404479980469,14.27989383953193,1001.9085011291509,macd_death_cross
RL,2025-02-06,2025-02-25 00:00:00,268.99212646484375,264.0975646972656,-1.8195929493935674,-14.194229125976562,macd_death_cross
APP,2025-02-20,2025-02-25 00:00:00,450.010009765625,377.05999755859375,-16.21075323302813,-3374.6675646972653,stop_loss
EQT,2025-01-27,2025-02-26 00:00:00,47.75012969970703,48.21788787841797,0.9795956192215483,126.4818115234375,trailing_stop
TTWO,2025-02-07,2025-02-26 00:00:00,208.77000427246094,209.11000061035156,0.1628568908045351,0.8465908813476517,macd_death_cross
FOX,2024-12-30,2025-02-27 00:00:00,45.3689079284668,52.08366394042969,14.800347459432025,628.5683102798466,macd_death_cross
FOXA,2025-02-04,2025-02-27 00:00:00,53.86396026611328,55.60882568359375,3.2393931097156865,75.63991584777841,macd_death_cross
ETR,2025-02-24,2025-02-27 00:00:00,83.01364135742188,82.99417114257812,-0.023454235382735993,-5.278959350587684,macd_death_cross
NRG,2025-02-26,2025-03-03 00:00:00,111.94022369384766,99.0206298828125,-11.54151151812039,-519.3676712036136,stop_loss
PM,2025-02-25,2025-03-04 00:00:00,150.70269775390625,147.38075256347656,-2.2043037317449627,-357.5409608459486,macd_death_cross
T,2025-02-21,2025-03-05 00:00:00,25.503047943115234,25.081512451171875,-1.6528827961410648,-223.21147369384926,macd_death_cross
